location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
10748,Merced,co,0.8,ppm,2025-03-12T03:00:00Z,2025-03-11T21:00:00-06:00,America/Mexico_City,19.42472222,-99.11972222,,,,Unknown Governmental Organization,Sinaica Mexico
10748,Merced,co,1.1,ppm,2025-03-12T04:00:00Z,2025-03-11T22:00:00-06:00,America/Mexico_City,19.42472222,-99.11972222,,,,Unknown Governmental Organization,Sinaica Mexico
10748,Merced,co,1.2,ppm,2025-03-12T05:00:00Z,2025-03-11T23:00:00-06:00,America/Mexico_City,19.42472222,-99.11972222,,,,Unknown Governmental Organization,Sinaica Mexico
10748,Merced,co,1.3,ppm,2025-03-12T06:00:00Z,2025-03-12T00:00:00-06:00,America/Mexico_City,19.42472222,-99.11972222,,,,Unknown Governmental Organization,Sinaica Mexico
10748,Merced,co,1,ppm,2025-03-12T10:00:00Z,2025-03-12T04:00:00-06:00,America/Mexico_City,19.42472222,-99.11972222,,,,Unknown Governmental Organization,Sinaica Mexico
10748,Merced,co,0.9,ppm,2025-03-12T11:00:00Z,2025-03-12T05:00:00-06:00,America/Mexico_City,19.42472222,-99.11972222,,,,Unknown Governmental Organization,Sinaica Mexico
10748,Merced,co,0.9,ppm,2025-03-12T12:00:00Z,2025-03-12T06:00:00-06:00,America/Mexico_City,19.42472222,-99.11972222,,,,Unknown Governmental Organization,Sinaica Mexico
10748,Merced,co,1.7,ppm,2025-03-12T13:00:00Z,2025-03-12T07:00:00-06:00,America/Mexico_City,19.42472222,-99.11972222,,,,Unknown Governmental Organization,Sinaica Mexico
10748,Merced,co,2.1,ppm,2025-03-12T14:00:00Z,2025-03-12T08:00:00-06:00,America/Mexico_City,19.42472222,-99.11972222,,,,Unknown Governmental Organization,Sinaica Mexico
10748,Merced,co,2,ppm,2025-03-12T15:00:00Z,2025-03-12T09:00:00-06:00,America/Mexico_City,19.42472222,-99.11972222,,,,Unknown Governmental Organization,Sinaica Mexico
10748,Merced,co,2.2,ppm,2025-03-12T16:00:00Z,2025-03-12T10:00:00-06:00,America/Mexico_City,19.42472222,-99.11972222,,,,Unknown Governmental Organization,Sinaica Mexico
10748,Merced,co,1.2,ppm,2025-03-12T17:00:00Z,2025-03-12T11:00:00-06:00,America/Mexico_City,19.42472222,-99.11972222,,,,Unknown Governmental Organization,Sinaica Mexico
10748,Merced,co,1,ppm,2025-03-12T18:00:00Z,2025-03-12T12:00:00-06:00,America/Mexico_City,19.42472222,-99.11972222,,,,Unknown Governmental Organization,Sinaica Mexico
